Layer,Full Accuracy,Ablated Accuracy
0,0.7568807339449541,0.5481651376146789
1,0.7568807339449541,0.7442660550458715
2,0.7568807339449541,0.7075688073394495
3,0.7568807339449541,0.7201834862385321
4,0.7568807339449541,0.7110091743119266
5,0.7568807339449541,0.716743119266055
6,0.7568807339449541,0.694954128440367
7,0.7568807339449541,0.716743119266055
8,0.7568807339449541,0.7465596330275229
9,0.7568807339449541,0.7270642201834863
10,0.7568807339449541,0.7362385321100917
11,0.7568807339449541,0.731651376146789
