Layer,Full Accuracy,Ablated Accuracy
0,0.9375,0.05625
1,0.9375,0.9325
2,0.9375,0.815
3,0.9375,0.7275
4,0.9375,0.61375
5,0.9375,0.85625
6,0.9375,0.5725
7,0.9375,0.8825
8,0.9375,0.91125
9,0.9375,0.96125
10,0.9375,0.91375
11,0.9375,0.92
